,,,,,,,,,  TF,IDF,TF-IDF
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e74,17,24,61,0.072961373,0.405118593,0.029558009
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e80,1,3,61,0.004291845,1.30820858,0.005614629
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e89,14,36,61,0.060085837,0.229027334,0.013761299
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e91,1,5,61,0.004291845,1.086359831,0.004662489
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e92,1,17,61,0.004291845,0.554880914,0.002381463
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e93,1,6,61,0.004291845,1.007178585,0.004322655
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e115,1,10,61,0.004291845,0.785329835,0.003370514
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e122,87,47,61,0.373390558,0.113231977,0.042279751
38,2016-05-16 12:40,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),233,e124,1,3,61,0.004291845,1.30820858,0.005614629
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e2,1,8,61,0.004587156,0.882239848,0.004046972
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e3,6,8,61,0.027522936,0.882239848,0.024281831
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e18,40,34,61,0.183486239,0.253850918,0.04657815
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e26,4,9,61,0.018348624,0.831087326,0.015249309
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e28,1,8,61,0.004587156,0.882239848,0.004046972
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e29,1,4,61,0.004587156,1.183269844,0.005427843
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e30,3,14,61,0.013761468,0.639201799,0.008796355
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e34,3,45,61,0.013761468,0.132117321,0.001818128
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e55,25,37,61,0.114678899,0.217128111,0.024900013
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e65,3,12,61,0.013761468,0.706148589,0.009717641
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e69,4,52,61,0.018348624,0.069326491,0.001272046
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e74,4,24,61,0.018348624,0.405118593,0.007433369
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e81,1,3,61,0.004587156,1.30820858,0.006000957
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e89,20,36,61,0.091743119,0.229027334,0.021011682
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e92,2,17,61,0.009174312,0.554880914,0.005090651
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e115,1,10,61,0.004587156,0.785329835,0.00360243
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e122,98,47,61,0.449541284,0.113231977,0.050902448
39,2016-05-16 12:56,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),218,e124,1,3,61,0.004587156,1.30820858,0.006000957
40,2016-05-21 0:04,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,13,e34,2,45,61,0.153846154,0.132117321,0.020325742
40,2016-05-21 0:04,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,13,e69,2,52,61,0.153846154,0.069326491,0.010665614
40,2016-05-21 0:04,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,13,e90,9,39,61,0.692307692,0.194265228,0.134491312
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e34,2,45,61,0.074074074,0.132117321,0.009786468
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e69,3,52,61,0.111111111,0.069326491,0.007702943
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e75,1,6,61,0.037037037,1.007178585,0.037302911
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e84,1,35,61,0.037037037,0.241261791,0.008935622
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e90,16,39,61,0.592592593,0.194265228,0.115120135
41,2016-05-21 0:31,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,27,e122,4,47,61,0.148148148,0.113231977,0.016775108
42,2016-05-21 0:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,49,e18,1,34,61,0.020408163,0.253850918,0.005180631
42,2016-05-21 0:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,49,e34,2,45,61,0.040816327,0.132117321,0.005392544
42,2016-05-21 0:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,49,e69,7,52,61,0.142857143,0.069326491,0.009903784
42,2016-05-21 0:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,49,e90,39,39,61,0.795918367,0.194265228,0.154619263
43,2016-05-21 1:23,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,25,e34,2,45,61,0.08,0.132117321,0.010569386
43,2016-05-21 1:23,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,25,e69,1,52,61,0.04,0.069326491,0.00277306
43,2016-05-21 1:23,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,25,e90,22,39,61,0.88,0.194265228,0.170953401
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e16,1,3,61,0.010638298,1.30820858,0.013917113
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e18,32,34,61,0.340425532,0.253850918,0.086417334
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e28,1,8,61,0.010638298,0.882239848,0.00938553
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e30,1,14,61,0.010638298,0.639201799,0.006800019
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e32,1,26,61,0.010638298,0.370356487,0.003939963
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e34,2,45,61,0.021276596,0.132117321,0.002811007
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e55,9,37,61,0.095744681,0.217128111,0.020788862
