id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e18,5,623,746,0.6041666666666666,0.18017908141630767,0.10885819502235254
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e34,2,143,746,0.5416666666666666,1.6518809699438535,0.8947688587195872
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e55,1,594,746,0.5208333333333334,0.22784628084111588,0.1186699379380812
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e69,1,319,746,0.5208333333333334,0.8495344974189163,0.44246588407235227
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e89,2,518,746,0.5416666666666666,0.3647503579442778,0.19757311055315047
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e92,3,132,746,0.5625,1.73192367761739,0.9742070686597819
1,2016-04-01 14:30,1.0,DOS-ISMM HTTP Abnormal Status DOS,24,e122,10,787,746,0.7083333333333334,-0.05350264821364241,-0.03789770915133004
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e18,5,623,746,0.6136363636363636,0.18017908141630767,0.11056443632364335
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e55,3,594,746,0.5681818181818181,0.22784628084111588,0.12945811411427038
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e62,1,89,746,0.5227272727272727,2.126089230471621,1.1113648250192563
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e69,2,319,746,0.5454545454545454,0.8495344974189163,0.4633824531375907
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e89,2,518,746,0.5454545454545454,0.3647503579442778,0.19895474069687877
2,2016-04-01 14:44,1.0,DOS-ISMM HTTP Abnormal Status DOS,22,e122,9,787,746,0.7045454545454546,-0.05350264821364241,-0.03769504760506624
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e18,7,623,746,0.675,0.18017908141630767,0.12162087995600769
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e55,3,594,746,0.575,0.22784628084111588,0.13101161148364163
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e69,2,319,746,0.55,0.8495344974189163,0.467243973580404
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e74,1,106,746,0.525,1.9512865060916937,1.0244254156981392
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e89,2,518,746,0.55,0.3647503579442778,0.2006126968693528
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e93,1,31,746,0.525,3.1807383957186146,1.6698876577522728
3,2016-04-01 14:46,1.0,DOS-ISMM HTTP Abnormal Status DOS,20,e122,4,787,746,0.6,-0.05350264821364241,-0.032101588928185446
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
